,Date,Open,High,Low,Close,Volume,Week,Quarter,Month Name,Day Name,Day,Month
500,2021-01-06,208.461,212.7,208.233,208.53,36571332.757324,1,1,January,Wednesday,6,1
499,2021-01-07,210.287,215.5,209.96,214.458,28188301.237184,1,1,January,Thursday,7,1
498,2021-01-08,214.845,216.711,213.236,215.778,23365538.106672,1,1,January,Friday,8,1
497,2021-01-11,214.636,215.073,212.939,213.683,23457980.900368,2,1,January,Monday,11,1
496,2021-01-12,212.71,213.306,209.572,211.171,23663895.626776,2,1,January,Tuesday,12,1
495,2021-01-13,210.267,212.969,210.179,212.552,20445253.794734,2,1,January,Wednesday,13,1
494,2021-01-14,212.124,213.653,209.007,209.275,29870018.920386,2,1,January,Thursday,14,1
493,2021-01-15,209.771,210.754,208.322,208.917,32312585.096208,2,1,January,Friday,15,1
492,2021-01-19,209.999,213.186,208.897,212.65,31024365.242458,3,1,January,Tuesday,19,1
491,2021-01-20,213.891,221.834,213.494,220.394,38450868.590827,3,1,January,Wednesday,20,1
490,2021-01-21,220.751,222.34,218.528,221.02,31297848.807547,3,1,January,Thursday,21,1
489,2021-01-22,223.114,226.033,221.844,221.991,30710672.779001,3,1,January,Friday,22,1
488,2021-01-25,225.09,225.745,220.274,225.497,33743230.351647,4,1,January,Monday,25,1
487,2021-01-26,227.81,230.073,226.043,228.267,50046344.103646,4,1,January,Tuesday,26,1
486,2021-01-27,233.826,236.228,226.103,228.812,71116503.891006,4,1,January,Wednesday,27,1
485,2021-01-28,231.483,238.383,230.966,234.749,49986860.760912,4,1,January,Thursday,28,1
484,2021-01-29,231.86,233.846,227.303,227.91,43261012.424813,4,1,January,Friday,29,1
483,2021-02-01,230.936,238.244,228.365,235.454,33908218.991059,5,1,February,Monday,1,2
482,2021-02-02,237.082,238.055,234.511,235.315,26378451.560475,5,1,February,Tuesday,2,2
481,2021-02-03,235.375,240.804,235.068,238.74,27642362.54744,5,1,February,Wednesday,3,2
480,2021-02-04,238.403,238.979,236.158,237.758,25747154.329307,5,1,February,Thursday,4,2
479,2021-02-05,237.975,239.018,236.208,237.946,18376687.386196,5,1,February,Friday,5,2
478,2021-02-08,238.889,239.415,236.595,238.214,22607991.502144,6,1,February,Monday,8,2
477,2021-02-09,237.628,240.477,237.162,239.504,23985140.731145,6,1,February,Tuesday,9,2
476,2021-02-10,240.717,241.6,236.675,238.562,22582316.753649,6,1,February,Wednesday,10,2
475,2021-02-11,240.497,240.864,237.897,240.21,16031915.722018,6,1,February,Thursday,11,2
474,2021-02-12,239.664,241.004,238.472,240.707,16856379.450279,6,1,February,Friday,12,2
473,2021-02-16,240.717,241.808,238.66,239.435,27205083.978505,7,1,February,Tuesday,16,2
472,2021-02-17,237.638,240.587,237.261,240.477,22008872.066916,7,1,February,Wednesday,17,2
471,2021-02-18,238.105,240.21,237.192,240.08,17187775.997049,7,1,February,Thursday,18,2
470,2021-02-19,240.041,240.15,236.516,237.291,25653971.179373,7,1,February,Friday,19,2
